id,辞書ページ,見出し語,かな1,かな2,かな3,アクセント型,品詞,文語などの種別,補足,意味 1.,意味 2.,意味 3.,意味 4.,意味 5.,備考
4692,260,?irudui,いるどぅい,,,⓪,名,,,色どり。彩色。,,,,,
4693,260,?irudujaasi,いるどぅやーし,,,⓪,名,,,色のとりあわせ。配色。,,,,,
4694,260,?iru?iru,いるいる,,,⓪,名,,,いろいろ。さまざま。～'jaQsaa.いろいろだよ。～nu.いろいろの。,,,,,
4695,260,?irujuku,いるゆく,,,⓪,名,,,色欲。,,,,,
4696,260,?iruka,いるか,,,⓪,名,,,色香。色と香り。,,,,,
4697,260,?irukaZi,いるかじ,,いるかじ,⓪,副,,,種種。種種雑多。いろいろ。hananu～sacoojabiiN.花がいろいろ咲いています。,,,,,
4698,260,?irukisa,いるきさ,,,⓪,名,,,顔色。血色。,,,,,
4699,260,?irumigaai,いるみがーい,,,⓪,名,,,1.（驚いて）顔色が急変すること。,2.変節。,,,,
4700,260,?irumiijaQsaN,いるみーやっさん,,,⓪,形,,,（喜怒哀楽の情が）顔色に現われやすい。現金である。,,,,,
4701,260,?irumiijasii,いるみーやしー,,,⓪,名,,,現金な人。,,,,,
4702,260,?irunoosi,いるのーし,,,⓪,名,,,染め直し。色あげ。,,,,,
4703,260,?irunuciN,いるぬちん,,,⓪,名,,,"芭蕉布に着色した士族男子用の礼服。色の衣の意。夏用は水色無地,冬用は茶色無地。",,,,,
4704,260,?irunugaa,いるぬがー,,,⓪,名,,,"血色の悪い者。また,（驚いて）青くなった者。-nugaa＜nugijuN。～natooN.顔色が悪い。",,,,,
4705,260,?iruNna,いるんな,,,⓪,連体,,,1.いろいろな。いろんな。?aree～sjumuCi ?uhooku muQcooN.彼はいろいろな本をたくさん持っている。,2.変な。妙な。異様な。kunugurunu sikinoo～kutunu ?aQsaa.このごろの世の中は普通でないことがあるねえ。,,,,
4706,260,?irusigamaasi,いるしがまーし,,,⓪,名,,,あいにく。折あしく。～'jaQsaa 'jaa.あいにくでしたねえ。,,,,,
4707,260,?irusjumo]osju,いるすもおす,,いるしゅもおしゅ,⓪,名,,,次の句で用いる。～nugijuN.驚いて青くなる。色を失う。,,,,,
4708,260,?irusoomo]osoo,いるそーもおそー,,,⓪,副,,,驚いて顔色が青くなるさま。,,,,,
4709,260,?iruwaki,いるわき,,,⓪,名,,,色分け。色別。物事の区別。,,,,,
4710,260,?iruwakiti,いるわきてぃ,,,⓪,副,,,特に。とりわけ。特に区別して。,,,,,
4711,260,?iruZici,いるじち,,いるじち,⓪,名,,,色好み。好色。,,,,,
4712,260,?iruzurasaN,いるじゅらさん,,,⓪,形,,,（人･花･器物などの）色が美しい。,,,,,
4713,260,?isa,いさ,,,⓪,名,,,伊佐。《地》参照。,,,,,
4714,260,?isami=juN,いさみゆん,いさみいん,,①,"他=raN,=ti",,,励ます。慰めて励ます。激励する。,,,,,
4715,260,?isamita=cuN,いさみたちゅん,,,①,"自=taN,=Qci",,,勇み立つ。,,,,,
4716,260,?iSee,いせー,,,①,名,,,"1.委細。くわしいこと。～ni hanasawa cicimisjoori.くわしく話すから,聞いて下さい。～na kutoo mata.くわしいことはまたあとで。",2.たしかに。はっきり。～ni 'NNcaN.たしかに見た。～ja natikara 'wakaisa.たしかなこと（くわしいこと）はその場でわかるよ。,,,,
4717,261,?isi,いし,,,①,名,,,石。,,,,,
4718,261,?isi?ana,いしあな,,,①,名,,,石切り場の石を切りとった穴。,,,,,
4719,261,?isibasi,いしばし,,,①,名,,,石橋。,,,,,
4720,261,?isibee,いしべー,,,①,名,,,いしばい。石灰。貝がらなどを焼いて粉末にしたもの。しっくい･肥料などにする。,,,,,
4721,261,?isibjaa,いしびゃー,,,①,名,,,昔の大砲。-bjaa＜hjaa。,,,,,
4722,261,?isibuku,いしぶく,,,⓪,名,,,つぶて。投げるための小石。,,,,,
4723,261,?isibutuki,いしぶとぅき,,,①,名,,,石仏。,,,,,
4724,261,?isicaa,いしちゃー,,,①,名,,,石川。《地》参照。,,,,,
4725,261,?isici,いしち,,,①,名,,,伊敷。《地》参照。,,,,,
4726,261,?isiduuruu,いしどぅーるー,,,⓪,名,,,石燈籠。,,,,,
4727,261,?isigaci,いしがち,,,⓪,名,,,"石垣。台風の被害を防ぐために,ほとんどの家は石垣に囲まれている。",,,,,
4728,261,?isigaci,いしがち,,,①,名,,,"石垣島。八重山群島の島の名。また,石垣。《地》参照。",,,,,
4729,261,?isigaciguu,いしがちぐー,,,⓪,名,,,"ざる碁。へたな碁。石垣を積むように,やたらに石を並べるのでいう。",,,,,
4730,261,?isigakui,いしがくい,,,①,名,,,石囲い。屋敷などを囲った石の垣。,,,,,
4731,261,?isigaNtoo,いしがんとー,,,⓪,名,,,"[石敢当]T字形の道の突き当たりの家にかかげる魔除け。家がT字形の道の突き当たりにある時には,石敢当の三字を石垣や塀に彫るか,板に書くかしておく。中国に石敢当という豪傑がおり,向かう所敵なきありさまだったというので,この家には石敢当がいるぞと魔物をおどかすためのものと伝えている。",,,,,
4732,261,?isigee,いしげー,,,⓪,名,,,nisigeeと同じ。,,,,,
4733,261,?isiguu,いしぐー,,,⓪,名,,,さんご礁などを砕いた細かい砂利。道路などに敷く。石粉の意。,,,,,
4734,261,?isiguumici,いしぐーみち,,,⓪,名,,,?isiguuを敷きつめた道。石灰岩の砂利道。,,,,,
4735,261,?isiguu?Nmu,いしぐーっんむ,,,⓪,名,,,"甘藷の一種。堅くて石のようで,蒸すと粉をふく。",,,,,
4736,261,?isii,いしー,,,①,名,,,1.権勢。威勢。,2.意気盛んなこと。威勢がよいこと。,,,,
4737,261,?isikabuizoo,いしかぶいじょー,,,①,名,,,左右に大きな石を積み上げた門。,,,,,
4738,261,?isikahwa,いしかふぁ,,,①,名,,,石嘉波。《地》参照。,,,,,
4739,261,?isikakaraamici,いしかからーみち,,,⓪,名,,,石ころ道。,,,,,
4740,261,?isikizai,いしきじゃい,,,①,名,,,石段。石の階段。,,,,,
4741,261,?isikubiri,いしくびり,,,①,名,文,,"石のある小坂。nuhwanu～'NZo Ciriti nuburu,njahwiN～tusawa ?arana.[伊野波の石小坂無蔵つれてのぼるにやへも石こびり遠さはあらな]伊野波の石ころの坂道を恋する女をつれて登る。もっと石ころの坂道が遠くまであるといい。",,,,,
4742,261,?isimakuratoo,いしまくらとー,,,⓪,名,新,,"石枕党。日清戦争時代の,首里の頑固な一派。清のひいきをしたが,清が敗北したので,壊滅した。",,,,,
4743,261,?isimici,いしみち,,,①,名,,,石を敷き並べた道。石の舗道。首里の道路はほとんどが石を敷き並べた道であった。,,,,,
4744,261,?isinaguu,いしなぐー,,,⓪,名,,,"女の子の遊戯の名。いしなご。小石を投げ上げ,手の表裏で受け止めたりするもの。?isinagunu ?isinu ?uhusi narumadiN ?ukakibusemisjori 'wa?usjuganasi.[いしなごの石の大瀬なるまでもおかけぼさえ召しよれ我御主がなし]いしなごの石が大岩になるまでも,お治め下さい国王様。沖縄の君が代のような歌で,明治以後も保守派（kuruu）は宴会の初めに歌った。",,,,,
4745,261,?isiNmi,いしんみ,,,⓪,名,,,石嶺。《地》参照。,,,,,
4746,261,?isi?uuSi,いしうーし,,,①,名,,,石臼。,,,,,
4747,261,?isiZeeku,いしじぇーく,,いしぜーく,①,名,,,石工。石屋。?isiZeekuuともいう。,,,,,
4748,261,?isiZeekuu,いしじぇーくー,,いしぜーくー,①,名,,,石工。石屋。,,,,,
4749,261,?isizi,いしじ,,,①,名,,,1.礎石。いしずえ。,2.くつぬぎの石。,,,,
4750,262,?isizoo,いしじょー,,,①,名,,,石造りの門。石垣の門。,,,,,
4751,262,?isja,いさ,,いしゃ,⓪,名,,,医者。'jamatu?isja（蘭方医）と?ucinaa?isja（漢方医）とがある。,,,,,
4752,262,?isjaakaa=juN,いさーかーゆん,いさーかーいん,いしゃーかーゆん,⓪*,"自=raN,=ti",,,喜びはしゃぐ。手足を振り動かして喜び騒ぐ。?isjakajuNともいう。,,,,,
4753,262,?isjaara,いさーら,,いしゃーら,⓪,名,,,石原。《地》参照。,,,,,
4754,262,?isjadoo,いさどー,,いしゃどー,⓪,名,,,伊舎堂。《地》参照。,,,,,
4755,262,?isjaka=juN,いさかゆん,いさかいん,いしゃかゆん,⓪,"自=raN,=ti",,,?isjaakaajuNと同じ。,,,,,
4756,262,?isjatuu,いさとぅー,,いしゃとぅー,⓪,名,,,かまきり。,,,,,
4757,262,?isjoo,いそー,,いしょー,①,名,,,衣裳。衣服。着物。,,,,,
4758,262,?isjoocihwada,いそーちふぁだ,,いしょーちふぁだ,①,名,,,衣類。衣裳着肌の意。ciNcihwadaともいう。,,,,,
4759,262,?isjoosja,いそーさ,,いしょーしゃ,⓪,名,文･古,,"うれしさ。楽しさ。うきうきすること。nagunu ?uhuganiku ?Nma haraci ?isjosja, huni haraci ?isjosja'wa?uradumai.[名護の大兼久馬はらちいしやうしや舟はらちいしやうしや我浦泊]名護の大兼久馬場は馬を走らせて楽しいが,舟を走らせて楽しいのはわが村の港。～sjuN.楽しむ。老女などが?wiirikisa sjuNの意で用いる。",,,,,
4760,262,?isju,いす,,いしゅ,⓪*,名,,,主旨。意趣。,,,,,
4761,262,?isuzi,いすじ,,,⓪,名,,,急ぎ。至急。～nu Cikee.急ぎの使い。,,,,,
4762,262,?isu=zuN,いすじゅん,,,⓪,"自=gaN,=zi",,,急ぐ。?isugaamaari.急がば回れ。,,,,,
4763,262,?ita,いた,,,⓪,名,,,板。多くは?icaという。,,,,,
4764,262,?itabuQkwi,いたぶっくぃ,,,①,名,,,不機嫌で顔がふくれること。～sjuN.,,,,,
4765,262,?itabuQkwi=juN,いたぶっくぃゆん,いたぶっくぃいん,,①,"自=raN,=ti",,,（不機嫌で顔が）ふくれる。,,,,,
4766,262,?ita=nuN,いたぬん,,,⓪,"自=maN,=ji",,,"（家･器具･食物などが）痛む。破損したり,腐ったりして悪くなる。",,,,,
4767,262,?itari=juN,いたりゆん,いたりいん,,①,"自=raN,=ti",,,奥義をきわめる。奥義に達する。?itaritooNの形で多く用いる。buz●ini ?itaritooN.武芸をきわめている。,,,,,
4768,262,?itazira,いたじら,,,①,名,,,むだ。いたずら。～ni ?uNna kutu Qsi nuu najuga.むだにそんな事をして何になるか。'waaga kaN sjuSee ?itaziraa ?araN.わたしがこうするのはむだにしているのではない。,,,,,
4769,262,?itaziragutu,いたじらぐとぅ,,,①,名,,,むだな事。,,,,,
4770,262,?itu,いとぅ,,,⓪,名,,,絹。?iicuと同じ。?iicuを多く用いる。,,,,,
4771,262,?itujanazi,いとぅやなじ,,,⓪,名,文,,"糸柳。しだれ柳。Zurigwamija ?awari ?itujanazigukuru, kazinu ?usumamani nariti ?icusa.[尾類小身やあはれ糸柳心風の押すままになれていきゆさ]女郎の身はあわれ,糸柳のように,風の押すままに馴らされて行く。",,,,,
4772,262,?itu=juN,いとぅゆん,いとぅいん,,⓪,"他=raN,=ti",,,いとう。きらう。,,,,,
4773,262,?itumagwii,いとぅまぐぃー,,,⓪,名,,,"いとまごい。?itumagwijutumuti muQcaru sakaZicija namida ?awamuraci numiN naraN.[暇乞よともて持つちやるさかづきや涙あはもらち飲みもならぬ]いとまごいだと思って持ったさかずきは,涙がいっぱいたまって飲むこともできない。",,,,,
4774,262,?itumuN,いとぅむん,,,①,名,,,絹物。,,,,,
4775,262,?itumusi,いとぅむし,,,①,名,,,蚕。,,,,,
4776,262,?itunami,いとぅなみ,,,⓪,名,文,,"いとなみ。生業。hwibinu～ni hwikasariti'waminu'ugamibusja ?atiN zijuja naraN.[日日のいとなみに引かされて我身の拝みぼしやあても自由やならぬ]日日の生活にひかされて,わたしはお会いしたくても自由になりません。",,,,,
4777,262,?iwa,いわ,,,①,名,文,,"岩。口語はsii,または?uhusiという。",,,,,
4778,262,?iwari,いわり,,,①,名,,,いわれ。由来。,,,,,
4779,262,?iwee,いうぇー,,,①,名,,,祝い。'juuweeともいう。,,,,,
4780,262,?izaa,いじゃー,,,①,名,,,大胆な者。勇者。意地のある者。,,,,,
4781,262,?iZai,いじゃい,,いざい,⓪,名,,,"いさり。火を使う,夜の漁。",,,,,
4782,262,?iZaibii,いじゃいびー,,いざいびー,⓪,名,,,いさり火。漁火。,,,,,
4783,263,?iZaihoo,いじゃいほー,,いざいほー,⓪,名,古,,"貞操試験。久高島の習俗。若い女にいかがわしい風評が立った時,森の神前で眼かくしをして小橋の上を渡らせる。無事に渡れば貞節の証明となる。不品行を確実に知っている者が見物人の中から石を投げて,その非をあらわす。",,,,,
4784,263,?izasica,いじゃしちゃ,,,⓪,名,,,伊差川。《地》参照。,,,,,
4785,263,?izi,いじ,,,①,名,,,1.勇気。意地。意気地。元気。～nu ?aN.勇気がある。～?Nziree.元気を出せ。～cijuN.（子供が）しっかりしている。母親にすがったりなどしない。～N ciraN muN.意気地なしの子供。,"2.怒り。怒気。?aree～?NzitooN.彼は怒っている。～nu SiiraraN.怒りを制しきれない。腹にすえかねる。～nu ?Nziraa tii hwiki, tiinu ?Nziraa～hwiki.腹が立っても手（暴力）を出すな。手が出そうになったら自分の怒りを静めよ。",,,,
4786,263,?izicirimu]N,いじちりむん,,,①,名,,,しっかり者。年少者についていう。母親にすがったりしない子供など。?iziN ciraN muN.（いくじなし）はその反対。,,,,,
4787,263,?izina,いじな,,,①,名,,,"伊是名島。沖縄本島北方,伊平屋島（?ihja）の南にある島。伊平屋島（kusiziiともいう）に対してmeezii[前地]ともいう。また,伊是名。《地》参照。",,,,,
4788,263,?iziN,いじん,,,⓪,名,,,"しあわせ。気楽。親が子に,しゅうとめが嫁に責任を譲って安楽になる場合などにいう。Qkwanu cuuree ?ujaa～.子供が大きくなれば親は楽でしあわせ。'juminu cakutu sjutoo～sjoosa.よめが来たので,しゅうとめは気楽にしている。",,,,,
4789,263,?iziri,いじり,,,⓪,名,,,意気。意気地。気力。～nu neeN.意気地がない。,,,,,
4790,263,?izirimu]N,いじりむん,,,⓪,名,,,しっかり者。,,,,,
4791,263,?izizuu,いじじゅー,,,①,名,,,気丈者。意地のある者。?izizuumuNともいう。,,,,,
4792,263,?izizuumuN,いじじゅーむん,,,①,名,,,?izizuuと同じ。,,,,,
4793,263,?izu,いじゅ,,,⓪,名,文,,"[伊集]植物名。口語は?Nzu。さざんかの一種。椿に似た厚い葉で,白く美しい花が咲く。良材となる。～nu kija 'jukati ?aN curasa sacui, 'wamiN～'jatuti masira sakana.[伊集の木やよかてあんきよらさ咲ちゆい我身も伊集やとて真白咲かな]伊集の木はさかえて,あのように美しく咲いている。わたしも伊集の木のようになって真白に咲きたいものだ。",,,,,
4794,263,?izu,いじゅ,,,⓪,名,,,伊集。?Nzuともいう。《地》参照。,,,,,
4795,263,?iZumi,いじゅみ,,いずみ,⓪,名,,,伊豆味。《地》参照。,,,,,
4796,263,?izuN,いじゅん,,,⓪,名,,,泉。,,,,,
4797,263,?iZuNZaci,いじゅんじゃち,,いずんざち,⓪,名,,,泉崎。《地》参照。,,,,,
4798,264,-i,-い,,,,助,,,"か。疑問の助詞。文の末尾に付けて質問文を作る。Qcui.人か。taruui.太郎か。Nに終わる語に付く時はそのNをnuに変える。?iN.（犬）→?inui.（犬か）ただし,活用する語の｢終止形（現在肯定）｣に付く場合にはNをmに変える。kacuN.（書く）→kacumi.（書くか）,'wakasaN.（若い）→'wakasami.（若いか）など。また否定の形に付く時にはNをnに変える。kakaN.（書かない）→kakani.（書かないか）,neeN.（ない）→neeni.（ないか）など。また活用する語の過去の形に付く時には,過去の｢終止形｣には付かず,｢音便形+て」の形に付く。?aN 'jataN.（そうだった）→?aN 'jatii.（そうだったか）,kacaN.（書いた）→kacii.（書いたか）など。また,?aN（そう）,kaN（こう）などは?anii.（そうか）,kanii.（こうか）となる。なお-duを用いる係り結びの文にも用いうる。'waNdu 'jarui.わたしなのか。なお,疑問詞を用いた質問文は-iで結ばず,-gaで結ぶ。",,,,,
4799,264,'ici,ぃいち,,,①,名,,,益。利益。～nu neeN kutu Qsi.無益なことをして。,,,,,
4800,264,'ici,ぃいち,,,①,名,,,易。易経を応用した占いの法。,,,,,
4801,264,'ida,ぃいだ,,,①,名,,,枝。'judaともいう。kiinu～.木の枝。,,,,,
4802,264,'idahwaa,ぃいだふぁー,,,①,名,,,枝葉。'judahwaaともいう。,,,,,
4803,264,'idamuci,ぃいだむち,,,①,名,,,枝ぶり。'judamuciともいう。,,,,,
4804,264,'idu,ぃいどぅ,,,①,名,,,江戸。,,,,,
4805,264,'ii,ぃいー,,,⓪,名,,,"藺（い）。燈心草。biiguii,saciiiの二種がある。",,,,,
4806,264,'ii,ぃいー,,,⓪,名,,,絵。kataともいう。,,,,,
4807,264,'ii,ぃいー,,,①,名,,,"ゆい。労力交換による協同労働。田植え･砂糖製造など一時に多数の労力が必要な時,順番に加勢し合って労働力の交換をすること。～kaNsijuN.ひとの仕事をしてやって,他日自分の仕事をさせる権利をもつ。ゆいをかぶせる意。～kaNzuN.自分の仕事をひとにしてもらい,労働の負債をもつ。ゆいをかぶる意。",,,,,
4808,264,'ii,ぃいー,,,①,名,,,"亥（い）。十二支の一つ。時間は午後10時,方向は西寄りの北。",,,,,
4809,264,'ii,ぃいー,,,①,名,,,椅子。腰掛けるもの。,,,,,
4810,264,'ii-,ぃいー-,,,,接頭,,,"よい。いい。非常に多くの名詞に付く。'ii?acinee（いい商売）,'ii?imi（よい夢）,'iiQcu（よい人）など。'jana-（悪い）の対。",,,,,
4811,264,-]ii,-いー,,,,助,,,よ。ねえ。意志を表わす形（すなわち｢未然形｣の単独の形）に付く。対等･目下に対する親しみの気持ちを表わす。'juma～.読もうねえ。?aNsa～.そうしようねえ。?ikaN ?uka～.行かないでおこうねえ。,,,,,
4812,264,'ii]?acinee,ぃいーあちねー,,,⓪,名,,,いい商売。もうけの多い商売。大もうけ。cuuja hurimuN ?icati～sicasa. hweku 'jaakai ?ikiwadu 'jaru.[今日やふれ者行逢て良い商ひしちやさ早く家かい行きはどやる（茶売節）]きょうは馬鹿者に会っていい商売をした。早く家に帰らなくては。,,,,,
4813,264,'ii]?aNbee,ぃいーあんべー,,,⓪,名,,,"いい按配。物事が順調に進んでいること。また,病人の状態がよいこと。",,,,,
4814,264,'ii]baa,ぃいーばー,,,⓪,名,,,"よい折。いい機会。'iibasju, 'iihjoosiと同じ。～'jaQsaa.ちょうどよかった。",,,,,
4815,264,'ii]basju,ぃいーばす,,ぃいーばしゅ,⓪,名,,,"よい折。いい機会。'iibaa, 'iihjoosiと同じ。",,,,,
4816,264,iiCibiN、CikaN,ぃいーちびん、ちかん,,ぃいーつぃびん、つぃかん,①、⓪,句,,,尻が落ち着かない。席の暖まる暇もない。すわった尻が付かない意。,,,,,1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
4817,265,'iiCi=cuN,ぃいーちちゅん,,ぃいーつぃちゅん,①,"自=kaN,=ci",,,1.居付く。住み付く。ひとところに落ち着いて暮らす。,"2.（回っているこま,上がっているたこなどが）動揺せずに安定する。",,,,
4818,265,'iicii,ぃいーちー,,,⓪,名,,,懐胎。妊娠。月経が止まって妊娠が確定すること。,,,,,
4819,265,'ii]cii,ぃいーちー,,,⓪,名,,,1.いい気。思い上がった気持ち。～nati.いい気になって。,2.いい気持ち。saki nudakutu～nataN.酒を飲んだのでいい気持ちになった。,,,,
4820,265,'ii]ciici,ぃいーちーち,,,⓪,名,,,いい景色。よい眺め。,,,,,
4821,265,'iiciiri,ぃいーちーり,,,⓪,名,,,かすり（絣）。tuQciriともいう。,,,,,
4822,265,'iidaki,ぃいーだき,,,①,名,,,すわった高さ。座高。,,,,,
4823,265,'iidataN,ぃいーだたん,,,⓪,名,,,琉球表の畳。備後表の畳はbiigudataNという。,,,,,
4824,265,'ii]dusi,ぃいーどぅし,,,⓪,名,,,いい友達。親友。,,,,,
4825,265,'iiee,ぃいーえー,,,①,名,,,その場に居合わせること。?ujacoodee～nu ?wii hanasjuN.親兄弟が居合わせた上で話す。,,,,,
4826,265,'ii]gukuci,ぃいーぐくち,,,⓪,名,,,居ごこち。すわりごこち。住みごこち。,,,,,
4827,265,'iihii,ぃいーひー,,,⓪,感,,,"（[i~i~Ci~i~]のように鼻音化して発音される。鼻音化しないとぞんざいに聞こえる。）さあ。じゃあ。目下に対して誘いかける時発する語。diQkaaともいう。目上に対しては'uuhuu,目下でも年長者に対しては'oohooという。～?ika.さあ行こう。",,,,,
4828,265,'ii]hjoosi,ぃいーひょーし,,,⓪,名,,,"よい折。いい機会。'iibaa,'iibasjuと同じ。",,,,,
4829,265,'iihudi,ぃいーふでぃ,,,⓪,名,,,絵筆。,,,,,
4830,265,'ii]huuzi,ぃいーふーじ,,,⓪,名,,,"1.いい身なり。いい風采。また,よい習わし。よい流儀。",,,,,
4831,265,'ii]hwii,ぃいーふぃー,,,⓪,名,,,いい日。吉日。,,,,,
4832,265,'ii]?imi,ぃいーいみ,,,⓪,名,,,いい夢。吉夢。,,,,,
4833,265,'iii]i,ぃいーーい,,,⓪,感,,,"（[i~i~i~i~]鼻音化して発音されるのが普通。鼻音化しないとぞんざいに聞こえる。）いいえ。いや。目下に対して,否定または拒絶の意を表わす語。目上に対しては'uuuu,目下の年長者に対しては'ooooという。",,,,,
4834,265,'iiimuN,ぃいーーむん,,,⓪,名,,,もらい物。もらった物。,,,,,
4835,265,'iiiNgwa,ぃいーーんぐゎ,,,⓪,名,,,もらい子。'iiriNgwaともいう。,,,,,
4836,265,'iiiziN,ぃいーーじん,,,⓪,名,,,'iiriziNと同じ。,,,,,
4837,265,iijaa,ぃいーやー,,,⓪,名,,,"婿の家を代表して,縁談の申し込みをする者。＜'iijuN。kuujaaともいう。",,,,,
4838,265,'ii=juN,ぃいーゆん,ぃいーいん,,⓪,"他=raN,=ti",,,1.もてあそぶ。hutukii～.人形をもてあそぶ。,2.得意とする。（'iitooNの形で用いる）?arcezii 'iitooN.彼は書が得意だ。,,,,
4839,265,'ii=juN,ぃいーゆん,ぃいーいん,,⓪,他=raN=ti,,,もらう。ziN～.金をもらう。'iiteeru ziN.もらった金。,,,,,
4840,265,'iikaci,ぃいーかち,,,⓪,名,,,"絵かき。画家。沖繩の画家としては,殷元良,自了の二人がもっとも有名。",,,,,
4841,265,'ii]kaNgee,ぃいーかんげー,,,⓪,名,,,いい考え。名案。妙案。,,,,,
4842,265,'ii]kukuci,ぃいーくくち,,,⓪,名,,,いい気持ち。よい気分。kusi tataci kwiree ?iQpee～'jasa.あんまをしてくれたらとてもいい気持ちだ。,,,,,
4843,265,'iikuru,ぃいーくる,,,⓪,名,,,1.大よそ。大かた。大体。たいてい。～natooN.大よそできている。～nu Qcu.たいていの人。naa～'jaN.もう大体できている。,2.どこでも。たいていのところ。～?asa.たいていのところにある。,,,,
4844,265,'iikutu,ぃいーくとぅ,,,⓪,名,,,"いい事。めでたい事。縁起のよいこと。吉事。～katari.よい事を語れ。からすなど不吉な鳥が屋内や屋根の上で鳴いた時,biicaa（ねずみの一種）が鳴いた時に言うまじない。",,,,,
4845,265,'ii]kutu,ぃいーくとぅ,,,⓪,名,,,いいこと。よい事柄。よい事件。,,,,,
4846,265,'iimaaru,ぃいーまーる,,,⓪,名,,,"順番に労力交換（'ii）を行なうこと。主として農家の畑仕事についていうが,転じて他の仕事についてもいう。",,,,,
4847,266,'ii]muN,ぃいーむん,,,⓪,名,,,いい物。,,,,,
4848,266,'iimusiru,ぃいーむしる,,,⓪,名,,,琉球表。saciiiでつくったむしろ。,,,,,
4849,266,'ii]naaka,ぃいーなーか,,,⓪,名,,,いい仲。親しい仲。仲よし。,,,,,
4850,266,'ii]nee,ぃいーねー,,,⓪,名,,,"よく似合うこと。また,似合いの男女。",,,,,
4851,266,'iiniibui,ぃいーにーぶい,,,①,名,,,居眠り。～kuuzuN.こっくりこっくりをする。,,,,,
4852,266,'iinoo=juN,ぃいーのーゆん,ぃいーのーいん,,①,"自=raN,=ti",,,"「居直る」に対応する。辞去しようとして,また,しばらくとどまる。",,,,,
4853,266,'iinuu,ぃいーぬー,,,⓪,名,,,あいこ。引き分け。勝負なし。,,,,,
4854,266,'ii?Nmanukura,ぃいーっんまぬくら,,,⓪,名,,,いい馬の鞍の意。罪･責任を転嫁させるかっこうな相手。?ariga 'waNnee～Ndi ?umutooru gutooN.彼がわたしをいい馬の鞍だと思っているらしい。,,,,,
4855,266,'iiN,ぃいーん,,,①,名,,,縁。縁側。廊下。,,,,,
4856,266,'iiN,ぃいーん,,,①,名,,,"織機の筬（おさ）の種類の名。十四よみ。経糸1120本を通す。また,それで織った布。huduciの項参照。",,,,,
4857,266,'ii]Qcu,ぃいーっちゅ,,,⓪,名,,,いい人。善人。,,,,,
4858,266,'ii]Qkwa,ぃいーっくゎ,,,⓪,名,,,"いい子。善良な子。'iQkwaとは異なり,子供についてのみいう。",,,,,
4859,266,'iira=rijuN,ぃいーらりゆん,,,⓪,"自=riraN,=Qti",,,1.もらわれる。'iijuN（もらう）の受身。,2.信頼される。重宝がられる。気に入られる。?aree sikiNkara 'iiraQtooN.彼は世間から信頼されている。,,,,
4860,266,'iirimuN,ぃいーりむん,,,⓪,名,,,1.おもちゃ。玩具。,2.趣味としているもの。得意とするもの。,,,,
4861,266,'iiriNgwa,ぃいーりんぐゎ,,,⓪,名,,,'iiiNgwaと同じ。,,,,,
4862,266,'iiriziN,ぃいーりじん,,,⓪,名,,,お年玉。新年に親類･近所などからもらう金。'iiiziNともいう。,,,,,
4863,266,'iisaba,ぃいーさば,,,⓪,名,,,藺で作った草履。,,,,,
4864,266,'iiSi,ぃいーし,,,⓪,名,,,江洲《地》参照。,,,,,
4865,266,'iisikuci,ぃいーしくち,,,①,名,,,座業。すわり仕事。'iiwaZaともいう。,,,,,
4866,266,'ii]sirasi,ぃいーしらし,,,⓪,名,,,いい知らせ。吉報。,,,,,
4867,266,'ii]sjoogwaCi,ぃいーそーぐゎち,,ぃいーしょーぐゎつぃ,⓪,名,,,1.いい正月。,2.新年おめでとう。新年のあいさつ。目上には～deebiruという。,,,,
4868,266,'ii]sjuubu,ぃいーすーぶ,,ぃいーしゅーぶ,⓪,名,,,いい勝負。接戦して勝ち負けのつきにくい勝負。,,,,,
4869,266,'ii]tacinaaka,ぃいーたちなーか,,,⓪,名,,,いい縁組。嫁いで行くのにちょうど似合いの相手。女の方からいう語。,,,,,
4870,266,'iiti,ぃいーてぃ,,,⓪,名,,,得手。得意とするもの。～sjuN.得意とする。,,,,,
4871,266,'ii]?waaCici,ぃいーっわーちち,,ぃいーっわーつぃち,⓪,名,,,いい天気。晴天。,,,,,
4872,266,'ii]?waZa,ぃいーっわじゃ,,ぃいーっわざ,⓪,名,,,いい職業。いい仕事。,,,,,
4873,266,'iiwaZa,ぃいーわじゃ,,ぃいーわざ,①,名,,,座業。すわり仕事。'iisikuciともいう。,,,,,
4874,266,'i=juN,ぃいゆん,ぃいいん,,①,"自=raN,=ci",,,1.すわる。'imiSeeN.おすわりになる。'imiSeebiree.おすわり下さいませ。'iree.すわれ。'icoomi.すわっているか。すわっている目下へのあいさつ。,"2.落ち着く。同じところにいる。kuma～.ここに居るの意。（放蕩していた者などが）家に落ち着いて,遊びに出歩かない。",3.沈澱する。底に沈む。,,,
4875,266,'inu-,ぃいぬ-,,,,接頭,,,"同じ。同等･同量･同様の意にも,同一の意にも用いる。非常に多くの名詞に付く。'inutusi（同年）,'inunaa（同名）,'inuQcu（同一人）など。kuree kiQsa cootaSitu 'inumajaai.これはさっき来ていたのと同じ猫か。",,,,,
